Transect_I,MGMTUNIT_I,TransectNa,StartLat,StartLong,SITE_ID,tblSITE_Site,ManUnitAcres,Obs.2008,Obs.2009,Obs.2010,Obs.2011,Obs.2012,Obs.2013,Obs.2014,Obs.2015,Obs.2016,Obs.2017,Obs.2018,Sys.2008,Sys.2009,Sys.2010,Sys.2011,Sys.2012,Sys.2013,Sys.2014,Sys.2015,Sys.2016,Sys.2017,Sys.2018,Mgmt.2008,Mgmt.2009,Mgmt.2010,Mgmt.2011,Mgmt.2012,Mgmt.2013,Mgmt.2014,Mgmt.2015,Mgmt.2016,Mgmt.2017,Mgmt.2018,NumObs,Delta
1600,199,1SI1-09,47.99936229,-96.30428714,66,Higginbotham WMA,55.4,0,1,1,0,0,0,0,0,1,0,0,"",LG,LG,LG,LG,LG,LG,LG,UG,UG,UG,Burn,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",2,1
1601,199,1SI1-13,47.99993519,-96.30635059,66,Higginbotham WMA,55.4,0,1,1,0,0,0,0,0,1,0,0,"",LG,LG,LG,LG,LG,LG,LG,NR,NR,NR,Burn,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",2,1
1602,200,1SI1-01,48.01262078,-96.31620029,66,Higginbotham WMA,50.7,0,1,1,0,0,0,0,0,1,0,0,"",LG,LG,LG,LG,LG,LG,LG,LG,LG,LG,Rest,Rest,Rest,Rest,Rest,Burn,Rest,"","","","",2,1
1603,200,1SI1-02,48.0106006,-96.31585452,66,Higginbotham WMA,50.7,0,1,1,0,0,0,0,0,0,0,0,"",LG,LG,LG,LG,LG,LG,LG,LG,LG,LG,Rest,Rest,Rest,Rest,Rest,Burn,Rest,"","","","",1,0
1604,200,1SI1-03,48.0085969,-96.31594204,66,Higginbotham WMA,50.7,0,1,1,0,0,0,0,0,1,0,0,"",LG,LG,LG,LG,LG,LG,LG,LG,LG,LG,Rest,Rest,Rest,Rest,Rest,Burn,Rest,"","","","",2,1
1605,200,1SI1-04,48.00740693,-96.31396402,66,Higginbotham WMA,50.7,0,1,1,0,0,0,0,0,1,0,0,"",LG,LG,LG,LG,LG,LG,LG,LG,LG,LG,Rest,Rest,Rest,Rest,Rest,Burn,Rest,"","","","",2,1
1606,200,1SI1-05,48.00704867,-96.31130468,66,Higginbotham WMA,50.7,0,1,1,0,0,0,0,0,1,0,0,"",LG,LG,LG,LG,LG,LG,LG,NR,NR,NR,Rest,Rest,Rest,Rest,Rest,Burn,Rest,"","","","",2,1
1607,200,1SI1-12,48.00694007,-96.31650744,66,Higginbotham WMA,50.7,0,1,1,0,0,0,0,0,1,0,0,"",LG,LG,LG,LG,LG,LG,LG,LG,LG,LG,Rest,Rest,Rest,Rest,Rest,Burn,Rest,"","","","",2,1
1608,201,1SI1-10,47.99450874,-96.29758206,66,Higginbotham WMA,24.5,0,1,1,0,0,0,0,0,1,0,0,"",WM,WM,WM,WM,WM,WM,WM,BP,BP,BP,Burn,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",2,1
1609,201,1SI1-11,47.99297352,-96.2954966,66,Higginbotham WMA,24.5,0,1,1,0,0,0,0,0,1,0,0,"",WM,WM,WM,WM,WM,WM,WM,BP,BP,BP,Burn,Rest,Rest,Rest,Rest,Rest,Rest,"","","","",2,1
